0,wage,educ,black,lwage,,,
824,640,12,1,6.461468,,,
825,1198,16,0,7.088409,,,
826,390,12,0,5.966147,,,
827,889,12,0,6.790097,,,
828,1076,12,0,6.9810057,,,
829,1127,12,0,7.0273147,,,
830,750,15,0,6.6200733,,,
831,855,14,0,6.7511015,,,
832,525,13,0,6.263398,,,
833,1104,12,0,7.0066953,,,
834,553,12,1,6.315358,,,
835,800,12,0,6.684612,,,
836,1384,13,0,7.2327332,,,
837,425,17,0,6.052089,,,
838,510,11,1,6.234411,,,
839,370,12,1,5.913503,,,
840,596,12,1,6.3902407,,,
841,402,12,1,5.996452,,,
842,418,12,1,6.0354815,,,
843,1133,16,0,7.0326242,,,
844,681,12,0,6.5235624,,,
845,950,11,0,6.856462,,,
846,600,10,0,6.3969297,,,
847,661,13,0,6.493754,,,
848,925,12,0,6.829794,,,
849,550,12,0,6.3099184,,,
850,606,11,0,6.40688,,,
851,425,10,0,6.052089,,,
852,340,14,0,5.8289456,,,
853,692,12,0,6.539586,,,
854,575,12,0,6.35437,,,
855,571,9,0,6.347389,,,
856,817,16,0,6.705639,,,
857,987,12,0,6.89467,,,
858,616,12,0,6.423247,,,
859,1026,16,0,6.933423,,,
860,808,12,0,6.694562,,,
861,808,17,0,6.694562,,,
862,788,12,0,6.669498,,,
863,850,12,0,6.7452364,,,
864,900,12,0,6.802395,,,
865,1418,12,0,7.257003,,,
866,260,12,1,5.560682,,,
867,662,14,1,6.4952655,,,
868,562,13,0,6.331502,,,
869,562,12,0,6.331502,,,
870,357,13,0,5.8777356,,,
871,1009,16,0,6.916715,,,
872,1442,12,0,7.2737865,,,
873,651,11,1,6.4785094,,,
874,750,12,1,6.6200733,,,
875,754,12,1,6.6253924,,,
876,700,12,1,6.55108,,,
877,503,11,1,6.22059,,,
878,937,12,0,6.8426833,,,
879,624,10,0,6.4361506,,,
880,750,12,1,6.6200733,,,
881,900,14,1,6.802395,,,
882,540,10,1,6.291569,,,
883,642,13,0,6.464588,,,
884,400,15,0,5.9914646,,,
885,900,10,0,6.802395,,,
886,513,16,0,6.240276,,,
887,894,18,0,6.795706,,,
888,1282,18,0,7.1561766,,,
889,485,12,0,6.184149,,,
890,325,12,0,5.7838254,,,
891,769,12,0,6.645091,,,
892,618,14,0,6.4264884,,,
893,1040,12,0,6.946976,,,
894,751,12,0,6.6214056,,,
895,380,12,0,5.9401712,,,
896,300,12,1,5.7037826,,,
897,753,10,0,6.6240654,,,
898,1065,16,0,6.9707303,,,
899,1070,12,0,6.975414,,,
900,1573,18,0,7.3607397,,,
901,650,10,0,6.4769726,,,
902,700,12,0,6.55108,,,
903,494,12,1,6.2025356,,,
904,890,12,0,6.7912216,,,
905,520,10,0,6.253829,,,
906,891,12,0,6.7923446,,,
907,570,12,0,6.3456364,,,
908,1444,15,0,7.275172,,,
909,481,12,1,6.175867,,,
910,500,12,0,6.214608,,,
911,1473,16,0,7.2950563,,,
912,803,13,0,6.6883545,,,
913,962,16,0,6.8690143,,,
914,1000,12,0,6.9077554,,,
915,600,16,0,6.3969297,,,
916,450,11,0,6.1092477,,,
917,629,12,1,6.4441314,,,
918,492,12,1,6.1984787,,,
919,1562,17,0,7.353722,,,
920,357,14,0,5.8777356,,,
921,960,13,0,6.8669333,,,
922,566,16,0,6.338594,,,
923,481,12,0,6.175867,,,
924,1442,16,0,7.2737865,,,
925,645,12,0,6.46925,,,
926,788,11,1,6.669498,,,
927,644,12,0,6.4676986,,,
928,477,12,0,6.1675167,,,
929,664,16,1,6.498282,,,
930,520,16,1,6.253829,,,
931,1202,13,0,7.091742,,,
932,538,12,1,6.2878585,,,
933,873,12,0,6.7719355,,,
934,1000,12,0,6.9077554,,,
